         date  temperature  temperature_weekly_mean  temperature_weekly_std  temperature_weekly_rate_change  temperature_monthly_mean  temperature_monthly_std  temperature_monthly_rate_change                                               temperature_condition  humidity  humidity_weekly_mean  humidity_weekly_std  humidity_weekly_rate_change  humidity_monthly_mean  humidity_monthly_std  humidity_monthly_rate_change                                                  humidity_condition  soil_moisture  soil_moisture_weekly_mean  soil_moisture_weekly_std  soil_moisture_weekly_rate_change  soil_moisture_monthly_mean  soil_moisture_monthly_std  soil_moisture_monthly_rate_change                                             soil_moisture_condition  light  light_weekly_mean  light_weekly_std  light_weekly_rate_change  light_monthly_mean  light_monthly_std  light_monthly_rate_change                                                     light_condition  water_requirement  water_requirement_weekly_mean  water_requirement_weekly_std  water_requirement_weekly_rate_change  water_requirement_monthly_mean  water_requirement_monthly_std  water_requirement_monthly_rate_change                                         water_requirement_condition  is_week_end  is_month_end
0  2024-10-28        18.00                      NaN                     NaN                             NaN                       NaN                      NaN                              NaN               {'daily': 'Healthy', 'weekly': None, 'monthly': None}     63.02                   NaN                  NaN                          NaN                    NaN                   NaN                           NaN           {'daily': 'Not Healthy', 'weekly': None, 'monthly': None}          74.55                        NaN                       NaN                               NaN                         NaN                        NaN                                NaN           {'daily': 'Not Healthy', 'weekly': None, 'monthly': None}   6.37                NaN               NaN                       NaN                 NaN                NaN                        NaN           {'daily': 'Not Healthy', 'weekly': None, 'monthly': None}             423.73                            NaN                           NaN                                   NaN                             NaN                            NaN                                    NaN           {'daily': 'Not Healthy', 'weekly': None, 'monthly': None}        False         False
1  2024-10-29        19.00                      NaN                     NaN                             NaN                       NaN                      NaN                              NaN               {'daily': 'Healthy', 'weekly': None, 'monthly': None}     65.24                   NaN                  NaN                          NaN                    NaN                   NaN                           NaN           {'daily': 'Not Healthy', 'weekly': None, 'monthly': None}          79.47                        NaN                       NaN                               NaN                         NaN                        NaN                                NaN           {'daily': 'Not Healthy', 'weekly': None, 'monthly': None}   5.68                NaN               NaN                       NaN                 NaN                NaN                        NaN           {'daily': 'Not Healthy', 'weekly': None, 'monthly': None}             419.65                            NaN                           NaN                                   NaN                             NaN                            NaN                                    NaN           {'daily': 'Not Healthy', 'weekly': None, 'monthly': None}        False         False
2  2024-10-30        18.00                      NaN                     NaN                             NaN                       NaN                      NaN                              NaN               {'daily': 'Healthy', 'weekly': None, 'monthly': None}     73.38                   NaN                  NaN                          NaN                    NaN                   NaN                           NaN           {'daily': 'Not Healthy', 'weekly': None, 'monthly': None}          72.33                        NaN                       NaN                               NaN                         NaN                        NaN                                NaN           {'daily': 'Not Healthy', 'weekly': None, 'monthly': None}   7.15                NaN               NaN                       NaN                 NaN                NaN                        NaN           {'daily': 'Not Healthy', 'weekly': None, 'monthly': None}             564.25                            NaN                           NaN                                   NaN                             NaN                            NaN                                    NaN           {'daily': 'Not Healthy', 'weekly': None, 'monthly': None}        False         False
3  2024-10-31        18.00                      NaN                     NaN                             NaN                       NaN                      NaN                              NaN               {'daily': 'Healthy', 'weekly': None, 'monthly': None}     66.96                   NaN                  NaN                          NaN                    NaN                   NaN                           NaN           {'daily': 'Not Healthy', 'weekly': None, 'monthly': None}          71.54                        NaN                       NaN                               NaN                         NaN                        NaN                                NaN           {'daily': 'Not Healthy', 'weekly': None, 'monthly': None}   7.07                NaN               NaN                       NaN                 NaN                NaN                        NaN           {'daily': 'Not Healthy', 'weekly': None, 'monthly': None}             486.69                            NaN                           NaN                                   NaN                             NaN                            NaN                                    NaN           {'daily': 'Not Healthy', 'weekly': None, 'monthly': None}        False         False
4  2024-11-01        18.00                      NaN                     NaN                             NaN                       NaN                      NaN                              NaN               {'daily': 'Healthy', 'weekly': None, 'monthly': None}     67.30                   NaN                  NaN                          NaN                    NaN                   NaN                           NaN           {'daily': 'Not Healthy', 'weekly': None, 'monthly': None}          77.62                        NaN                       NaN                               NaN                         NaN                        NaN                                NaN           {'daily': 'Not Healthy', 'weekly': None, 'monthly': None}   5.22                NaN               NaN                       NaN                 NaN                NaN                        NaN           {'daily': 'Not Healthy', 'weekly': None, 'monthly': None}             515.49                            NaN                           NaN                                   NaN                             NaN                            NaN                                    NaN           {'daily': 'Not Healthy', 'weekly': None, 'monthly': None}        False         False
5  2024-11-02        16.00                      NaN                     NaN                             NaN                       NaN                      NaN                              NaN           {'daily': 'Not Healthy', 'weekly': None, 'monthly': None}     64.84                   NaN                  NaN                          NaN                    NaN                   NaN                           NaN           {'daily': 'Not Healthy', 'weekly': None, 'monthly': None}          67.89                        NaN                       NaN                               NaN                         NaN                        NaN                                NaN           {'daily': 'Not Healthy', 'weekly': None, 'monthly': None}   7.30                NaN               NaN                       NaN                 NaN                NaN                        NaN           {'daily': 'Not Healthy', 'weekly': None, 'monthly': None}             566.43                            NaN                           NaN                                   NaN                             NaN                            NaN                                    NaN           {'daily': 'Not Healthy', 'weekly': None, 'monthly': None}        False         False
6  2024-11-03        18.00                17.857143                0.899735                             NaN                       NaN                      NaN                              NaN      {'daily': 'Healthy', 'weekly': 'Not Healthy', 'monthly': None}     62.96             66.242857             3.575573                          NaN                    NaN                   NaN                           NaN  {'daily': 'Not Healthy', 'weekly': 'Not Healthy', 'monthly': None}          78.13                  74.504286                  4.178859                               NaN                         NaN                        NaN                                NaN  {'daily': 'Not Healthy', 'weekly': 'Not Healthy', 'monthly': None}   7.78           6.652857          0.930049                       NaN                 NaN                NaN                        NaN  {'daily': 'Not Healthy', 'weekly': 'Not Healthy', 'monthly': None}             583.96                     508.600000                     68.023159                                   NaN                             NaN                            NaN                                    NaN  {'daily': 'Not Healthy', 'weekly': 'Not Healthy', 'monthly': None}         True         False
7  2024-11-04        19.34                18.048571                1.062943                        0.074444                       NaN                      NaN                              NaN               {'daily': 'Healthy', 'weekly': None, 'monthly': None}     73.07             67.678571             4.051800                     0.159473                    NaN                   NaN                           NaN           {'daily': 'Not Healthy', 'weekly': None, 'monthly': None}          68.68                  73.665714                  4.721846                         -0.078739                         NaN                        NaN                                NaN           {'daily': 'Not Healthy', 'weekly': None, 'monthly': None}   5.56           6.537143          1.017394                 -0.127159                 NaN                NaN                        NaN           {'daily': 'Not Healthy', 'weekly': None, 'monthly': None}             588.91                     532.197143                     62.064353                              0.389824                             NaN                            NaN                                    NaN           {'daily': 'Not Healthy', 'weekly': None, 'monthly': None}        False         False
8  2024-11-05        12.10                17.062857                2.396454                       -0.363158                       NaN                      NaN                              NaN           {'daily': 'Not Healthy', 'weekly': None, 'monthly': None}     74.98             69.070000             4.695995                     0.149295                    NaN                   NaN                           NaN           {'daily': 'Not Healthy', 'weekly': None, 'monthly': None}          65.24                  71.632857                  4.867414                         -0.179061                         NaN                        NaN                                NaN           {'daily': 'Not Healthy', 'weekly': None, 'monthly': None}   6.79           6.695714          0.945496                  0.195423                 NaN                NaN                        NaN           {'daily': 'Not Healthy', 'weekly': None, 'monthly': None}             414.27                     531.428571                     63.702068                             -0.012820                             NaN                            NaN                                    NaN           {'daily': 'Not Healthy', 'weekly': None, 'monthly': None}        False         False
9  2024-11-06        17.33                16.967143                2.365972                       -0.037222                       NaN                      NaN                              NaN           {'daily': 'Not Healthy', 'weekly': None, 'monthly': None}     73.10             69.030000             4.654170                    -0.003816                    NaN                   NaN                           NaN           {'daily': 'Not Healthy', 'weekly': None, 'monthly': None}          66.73                  70.832857                  5.183666                         -0.077423                         NaN                        NaN                                NaN           {'daily': 'Not Healthy', 'weekly': None, 'monthly': None}   5.20           6.417143          1.068593                 -0.272727                 NaN                NaN                        NaN           {'daily': 'Not Healthy', 'weekly': None, 'monthly': None}             549.16                     529.272857                     62.652944                             -0.026743                             NaN                            NaN                                    NaN           {'daily': 'Not Healthy', 'weekly': None, 'monthly': None}        False         False
10 2024-11-07        16.79                16.794286                2.321722                       -0.067222                       NaN                      NaN                              NaN           {'daily': 'Not Healthy', 'weekly': None, 'monthly': None}     74.58             70.118571             4.969750                     0.113799                    NaN                   NaN                           NaN           {'daily': 'Not Healthy', 'weekly': None, 'monthly': None}          79.32                  71.944286                  6.111560                          0.108750                         NaN                        NaN                                NaN           {'daily': 'Not Healthy', 'weekly': None, 'monthly': None}   5.85           6.242857          1.043563                 -0.172560                 NaN                NaN                        NaN           {'daily': 'Not Healthy', 'weekly': None, 'monthly': None}             548.95                     538.167143                     59.961766                              0.127925                             NaN                            NaN                                    NaN           {'daily': 'Not Healthy', 'weekly': None, 'monthly': None}        False         False
